original,augmented,method
"spider-man is in the same category as x-men - occasionally brilliant but mainly medium, showing signs of potential for the suites, but not giving us much this time around.","spider-man is in the same category as x-men - sometimes brilliant but mainly medium, showing signs of potential for the suites, but not giving us much this time around.",back_translation
Showing these characters in the act and not giving them any sense of remorse -- and cutting off several times the flashback of the original rape -- is too much killing to the highest degree.,Showing these characters in the act and not giving them a sense of remorse -- and cutting off the flashback of the original rape several times -- is too much killing to the highest degree.,back_translation
has his share of the off images.,to his share of the pictures off.,back_translation
the scenario of the film by heavy hand navigates a rapid decline in pompousness and pretentiousness.,the scenario of the film by a heavy hand navigates a rapid decline of the pump and pretentiosity.,back_translation
It is deeply-six by a constraint to catalog all body fluids gag in there there is something about Mary and design a parallel-gag clone.,It's deep-six by a constraint to catalog all the body fluids gag in there there's something about Mary and to design a parallel gag clone.,back_translation
He's here to give them a good time.,He's here to give them a good time.,back_translation
"If our culture obsessed with action and popcorn will embrace this engaging and literate psychodrama is not really a mystery, unfortunately.","If our culture obsessed with action and popcorn embraces this engaging and literate psychodrama, unfortunately is not really a mystery.",back_translation
"the action is reasonably well done ... but the story, the character and the comedy bits are too agitated to fit perfectly together.","the action is reasonably well done ... but the story, the character and the pieces of comedy are too agitated to fit perfectly together.",back_translation
"Some may choose to interpret the end of the film as optimistic or optimistic, but I think Payne is after something darker.","Some may choose to interpret the end of the film as optimistic or optimistic, but I think Payne is looking for something darker.",back_translation
It's hard to judge a movie as a ringu when you saw the remake first.,It's hard to judge a movie like a ring when you saw the remake first.,back_translation
